[2026-09-08T23:36:45.977Z] [OK] Código: 200 | Método: GET | Ruta: /login | IP: ::1 | Tiempo: 58ms
[2026-09-08T23:36:48.155Z] [OK] Código: 200 | Método: POST | Ruta: /api/login | IP: ::1 | Tiempo: 12ms
[2026-09-08T23:36:48.155Z] [OK] Código: 200 | Método: POST | Ruta: /api/login | IP: ::1 | Tiempo: 12ms
[2026-09-08T23:36:49.382Z] [ERROR] Código: 404 | Método: GET | Ruta: /upload | IP: ::1 | Tiempo: 2ms
[2026-09-08T23:36:57.882Z] [OK] Código: 200 | Método: GET | Ruta: /upload | IP: ::1 | Tiempo: 52ms
[2026-09-08T23:37:14.722Z] [ERROR] Código: 404 | Método: POST | Ruta: /api/usuarios/1/avatar | IP: ::1 | Tiempo: 2ms
[2026-09-08T23:39:28.986Z] [OK] Código: 200 | Método: GET | Ruta: /upload | IP: ::1 | Tiempo: 55ms
[2026-09-08T23:39:36.400Z] [OK] Código: 200 | Método: GET | Ruta: /upload?avatar=935708e473d94730163ff4f68473d872.jpg | IP: ::1 | Tiempo: 4ms
[2026-09-08T23:41:52.305Z] [OK] Código: 200 | Método: GET | Ruta: /upload?avatar=935708e473d94730163ff4f68473d872.jpg | IP: ::1 | Tiempo: 62ms
[2026-09-08T23:44:19.113Z] [OK] Código: 200 | Método: POST | Ruta: /api/usuarios/1/avatar | IP: ::1 | Tiempo: 64ms
[2026-09-08T23:44:19.131Z] [OK] Código: 200 | Método: GET | Ruta: /uploads/avatar-1788911059056-651358880.jpg | IP: ::1 | Tiempo: 5ms
[2026-09-08T23:46:32.386Z] [OK] Código: 200 | Método: GET | Ruta: /upload?avatar=935708e473d94730163ff4f68473d872.jpg | IP: ::1 | Tiempo: 59ms
[2026-09-08T23:46:38.009Z] [OK] Código: 200 | Método: POST | Ruta: /api/usuarios/avatar | IP: ::1 | Tiempo: 27ms
[2026-09-08T23:46:38.016Z] [OK] Código: 200 | Método: GET | Ruta: /uploads/avatar-1788911197988-861182954.jpg | IP: ::1 | Tiempo: 3ms
[2026-09-09T23:06:05.751Z] [ERROR] Código: 401 | Método: GET | Ruta: /api/usuarios | IP: ::1 | Tiempo: 5ms
[2026-09-09T23:06:42.718Z] [OK] Código: 200 | Método: POST | Ruta: /api/login | IP: ::1 | Tiempo: 27ms
[2026-09-09T23:06:42.718Z] [OK] Código: 200 | Método: POST | Ruta: /api/login | IP: ::1 | Tiempo: 27ms
[2026-09-09T23:09:28.246Z] [ERROR] Código: 404 | Método: GET | Ruta: /api/usuario | IP: ::1 | Tiempo: 1ms
[2026-09-09T23:09:30.135Z] [ERROR] Código: 404 | Método: GET | Ruta: /api/usuario | IP: ::1 | Tiempo: 1ms
[2026-09-09T23:09:38.716Z] [OK] Código: 200 | Método: GET | Ruta: /api/usuarios | IP: ::1 | Tiempo: 7ms
[2026-09-09T23:11:09.041Z] [OK] Código: 200 | Método: PUT | Ruta: /api/usuarios/1 | IP: ::1 | Tiempo: 23ms
[2026-09-09T23:12:58.432Z] [ERROR] Código: 404 | Método: POST | Ruta: /api/usuarios/1 | IP: ::1 | Tiempo: 0ms
[2026-09-09T23:13:04.324Z] [OK] Código: 201 | Método: POST | Ruta: /api/usuarios | IP: ::1 | Tiempo: 9ms
[2026-09-09T23:13:04.325Z] [OK] Código: 201 | Método: POST | Ruta: /api/usuarios | IP: ::1 | Tiempo: 10ms
[2026-09-09T23:14:54.300Z] [OK] Código: 204 | Método: DELETE | Ruta: /api/usuarios/2 | IP: ::1 | Tiempo: 10ms
[2026-09-09T23:17:23.041Z] [OK] Código: 201 | Método: POST | Ruta: /api/productos | IP: ::1 | Tiempo: 17ms
[2026-09-09T23:17:48.285Z] [OK] Código: 201 | Método: POST | Ruta: /api/productos | IP: ::1 | Tiempo: 7ms
[2026-09-09T23:18:10.312Z] [OK] Código: 201 | Método: POST | Ruta: /api/productos | IP: ::1 | Tiempo: 7ms
[2026-09-09T23:21:43.770Z] [OK] Código: 201 | Método: POST | Ruta: /api/productos | IP: ::1 | Tiempo: 8ms
[2026-09-09T23:22:18.725Z] [OK] Código: 200 | Método: GET | Ruta: /api/productos | IP: ::1 | Tiempo: 15ms
[2026-09-09T23:22:18.716Z] [OK] Código: 200 | Método: GET | Ruta: /api/productos | IP: ::1 | Tiempo: 6ms
[2026-09-09T23:23:28.496Z] [OK] Código: 200 | Método: PUT | Ruta: /api/productos/4 | IP: ::1 | Tiempo: 10ms
[2026-09-09T23:24:31.757Z] [OK] Código: 204 | Método: DELETE | Ruta: /api/productos/4 | IP: ::1 | Tiempo: 8ms
[2026-09-09T23:24:31.757Z] [OK] Código: 204 | Método: DELETE | Ruta: /api/productos/4 | IP: ::1 | Tiempo: 8ms
[2026-09-09T23:29:28.188Z] [OK] Código: 200 | Método: GET | Ruta: / | IP: ::1 | Tiempo: 963ms
[2026-09-09T23:29:28.391Z] [ERROR] Código: 404 | Método: GET | Ruta: /favicon.ico | IP: ::1 | Tiempo: 2ms
[2026-09-09T23:29:36.152Z] [OK] Código: 200 | Método: GET | Ruta: /login | IP: ::1 | Tiempo: 4ms
[2026-09-09T23:29:45.764Z] [OK] Código: 200 | Método: POST | Ruta: /api/login | IP: ::1 | Tiempo: 5ms
[2026-09-09T23:29:45.764Z] [OK] Código: 200 | Método: POST | Ruta: /api/login | IP: ::1 | Tiempo: 5ms
[2026-09-09T23:29:46.996Z] [OK] Código: 200 | Método: GET | Ruta: /upload | IP: ::1 | Tiempo: 3ms
[2026-09-09T23:29:53.085Z] [OK] Código: 200 | Método: POST | Ruta: /api/usuarios/avatar | IP: ::1 | Tiempo: 17ms
[2026-09-09T23:29:53.093Z] [OK] Código: 200 | Método: GET | Ruta: /uploads/avatar-1788996593072-793432228.png | IP: ::1 | Tiempo: 4ms
